id,deal_id,type,title,description,source,current_status_id,created_at,updated_at,owner_individual_id,tenant_id,account_id
131,1,Job,"Materialize - Staff Full Stack Engineer, Console",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,123
132,1,Job,Cassidy - Support Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,37
133,1,Job,"ZocDoc - Senior Software Engineer, Appointment Management",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,9
134,1,Job,Elite - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,124
135,1,Job,Capgemini - Azure Data Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,125
136,1,Job,"West Monroe Partners - Cloud Engineer, Cloud & Infrastructure",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,126
137,1,Job,"The Weather Company - Technical Program Manager, Consumer Data",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,127
138,1,Job,Permit Flow - Fullstack Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,128
139,1,Job,Privy - Staff Fullstack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,129
140,1,Job,"MongoDB - Senior Software Engineer, Deployments",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,130
141,1,Job,Ramp - Backend Engineer Procure to Pay,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,131
143,1,Job,"Lyft - Senior Software Engineer, AI",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,133
144,1,Job,Northwell Health - Lead Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,134
145,1,Job,"Octane - Staff Software Engineer, AI",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,135
146,1,Job,Rokt - Solutions Consultant,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,76
147,1,Job,KYD Labs - Founding Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,136
148,1,Job,Strativ Group - Staff Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,137
149,1,Job,Glanceable - Senior Full Stack Egnineer`,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,138
150,1,Job,probono net - Data Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,139
151,1,Job,Stash - Web Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,140
152,1,Job,Mias Bakery - Project Based Computer Programmer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,141
153,1,Job,Veritext - Product Development Specialist,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,142
154,1,Job,"Neotecra, Inc - Solutions Architect",,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,143
155,1,Job,Kintegral Asset Management - Python Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,144
156,1,Job,Simons Foundation - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,145
157,1,Job,Braze - Senior Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:22:46+00,,1,57
158,1,Job,NYU Langone Health - Software Architect - Education IT & Analytics,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:24:31+00,,1,146
159,1,Job,Polimorphic - Full Stack Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 11:25:49+00,,1,147
161,1,Job,Adobe - Senior Full Stack Software Engineer,,manual,1,2025-11-11 11:22:46+00,2025-11-11 17:40:17+00,,1,149
